,SNRin,Method,Parameter,Signal_id,Repetition,QRF
233,0,contour_filtering,"((), {})",McCosPlusTone,33,1.9847068828066075
234,0,contour_filtering,"((), {})",McCosPlusTone,34,2.182140384646923
235,0,contour_filtering,"((), {})",McCosPlusTone,35,2.3076322075379596
236,0,contour_filtering,"((), {})",McCosPlusTone,36,2.1654210681185297
237,0,contour_filtering,"((), {})",McCosPlusTone,37,1.8789219380971023
238,0,contour_filtering,"((), {})",McCosPlusTone,38,2.1321660926443307
239,0,contour_filtering,"((), {})",McCosPlusTone,39,2.0835953686602267
240,0,contour_filtering,"((), {})",McCosPlusTone,40,2.055183772135104
241,0,contour_filtering,"((), {})",McCosPlusTone,41,2.3897388732092004
242,0,contour_filtering,"((), {})",McCosPlusTone,42,2.300570315734327
243,0,contour_filtering,"((), {})",McCosPlusTone,43,2.1465897947570247
244,0,contour_filtering,"((), {})",McCosPlusTone,44,2.029089061426291
245,0,contour_filtering,"((), {})",McCosPlusTone,45,2.0579911675468594
246,0,contour_filtering,"((), {})",McCosPlusTone,46,2.0246808190237893
247,0,contour_filtering,"((), {})",McCosPlusTone,47,2.07898159202287
248,0,contour_filtering,"((), {})",McCosPlusTone,48,1.9841349474435548
249,0,contour_filtering,"((), {})",McCosPlusTone,49,2.0042449652360386
250,0,contour_filtering,"((), {})",McCrossingChirps,0,2.5600370095200935
251,0,contour_filtering,"((), {})",McCrossingChirps,1,2.1401678786160883
252,0,contour_filtering,"((), {})",McCrossingChirps,2,2.320255057347932
253,0,contour_filtering,"((), {})",McCrossingChirps,3,2.0968277755460694
254,0,contour_filtering,"((), {})",McCrossingChirps,4,1.958220878810869
255,0,contour_filtering,"((), {})",McCrossingChirps,5,2.023476650076597
256,0,contour_filtering,"((), {})",McCrossingChirps,6,1.942410514913672
257,0,contour_filtering,"((), {})",McCrossingChirps,7,1.783932195823204
258,0,contour_filtering,"((), {})",McCrossingChirps,8,2.4520384177720116
259,0,contour_filtering,"((), {})",McCrossingChirps,9,2.092469484097916
260,0,contour_filtering,"((), {})",McCrossingChirps,10,2.436512667278679
261,0,contour_filtering,"((), {})",McCrossingChirps,11,2.1922337381751484
262,0,contour_filtering,"((), {})",McCrossingChirps,12,2.013010628343959
263,0,contour_filtering,"((), {})",McCrossingChirps,13,2.173003131344276
264,0,contour_filtering,"((), {})",McCrossingChirps,14,2.2571370875841126
265,0,contour_filtering,"((), {})",McCrossingChirps,15,1.774561366189937
266,0,contour_filtering,"((), {})",McCrossingChirps,16,2.7220517053177535
267,0,contour_filtering,"((), {})",McCrossingChirps,17,2.836237310476966
268,0,contour_filtering,"((), {})",McCrossingChirps,18,1.9837364086230984
269,0,contour_filtering,"((), {})",McCrossingChirps,19,1.6357730597953113
270,0,contour_filtering,"((), {})",McCrossingChirps,20,1.7734092728222486
271,0,contour_filtering,"((), {})",McCrossingChirps,21,2.5785564043294196
272,0,contour_filtering,"((), {})",McCrossingChirps,22,2.113252438305469
273,0,contour_filtering,"((), {})",McCrossingChirps,23,2.654937971631343
274,0,contour_filtering,"((), {})",McCrossingChirps,24,2.2919916756302934
275,0,contour_filtering,"((), {})",McCrossingChirps,25,2.2790475565466712
276,0,contour_filtering,"((), {})",McCrossingChirps,26,2.0588068275868725
277,0,contour_filtering,"((), {})",McCrossingChirps,27,2.513092280415
278,0,contour_filtering,"((), {})",McCrossingChirps,28,2.0761744979653725
279,0,contour_filtering,"((), {})",McCrossingChirps,29,2.3750663993846244
280,0,contour_filtering,"((), {})",McCrossingChirps,30,1.9566309107509672
281,0,contour_filtering,"((), {})",McCrossingChirps,31,2.2032768613423905
282,0,contour_filtering,"((), {})",McCrossingChirps,32,2.246604853020079
283,0,contour_filtering,"((), {})",McCrossingChirps,33,1.6782967717246686
284,0,contour_filtering,"((), {})",McCrossingChirps,34,2.263895486167431
285,0,contour_filtering,"((), {})",McCrossingChirps,35,2.5560055756882045
286,0,contour_filtering,"((), {})",McCrossingChirps,36,2.293872221158489
287,0,contour_filtering,"((), {})",McCrossingChirps,37,2.2535328913152957
288,0,contour_filtering,"((), {})",McCrossingChirps,38,2.4490883073796645
289,0,contour_filtering,"((), {})",McCrossingChirps,39,1.7806585391337548
290,0,contour_filtering,"((), {})",McCrossingChirps,40,2.330293814462922
291,0,contour_filtering,"((), {})",McCrossingChirps,41,2.330688028369827
292,0,contour_filtering,"((), {})",McCrossingChirps,42,2.229598978460878
293,0,contour_filtering,"((), {})",McCrossingChirps,43,2.104846009784249
294,0,contour_filtering,"((), {})",McCrossingChirps,44,1.859426880832096
295,0,contour_filtering,"((), {})",McCrossingChirps,45,1.9684681787529499
296,0,contour_filtering,"((), {})",McCrossingChirps,46,1.8401550694593447
297,0,contour_filtering,"((), {})",McCrossingChirps,47,2.5081318634342447
298,0,contour_filtering,"((), {})",McCrossingChirps,48,2.0290249364631237
299,0,contour_filtering,"((), {})",McCrossingChirps,49,2.0985493797465784
300,0,contour_filtering,"((), {})",McMultiCos2,0,2.049865117022425
301,0,contour_filtering,"((), {})",McMultiCos2,1,2.327803247504807
302,0,contour_filtering,"((), {})",McMultiCos2,2,1.7343802757856013
303,0,contour_filtering,"((), {})",McMultiCos2,3,2.053671964809078
304,0,contour_filtering,"((), {})",McMultiCos2,4,2.185867594897208
305,0,contour_filtering,"((), {})",McMultiCos2,5,2.4974233475232794
